Course Code,Course Name,Credits
CE 3030,Land Development Engineering,3
CE 3050,Introduction to Green Engineering,3
CE 3100,Water for the World,3
CE 3120,Solid Waste Management,3
CE 3210,Fluid Mechanics,3
CE 3212,Fluid Mechanics Laboratory,1
CE 3220,Water Resources Engineering,3
CE 3222,Water Resources Engineering Workshop,1
CE 3300,Structural Mechanics,3
CE 3310,Design of Concrete Structures,3
CE 3330,Introduction to Design of Structural Systems,4
CE 3400,Transportation Infrastructure Design,3
CE 3402,Transportation Infrastructure Design Workshop,1
CE 3500,Special Topics in Civil Engineering,1 - 3
CE 3700,Properties and Behavior of Materials,3
CE 3702,Materials Laboratory,1
CE 3710,Introduction to Geotechnical Engineering,3
CE 3712,Introduction to Geotechnical Engineering Laboratory,1
CE 3800,Civil Engineering Undergraduate Seminar,1
CE 4010,Concrete Technology,3
CE 4015,Construction Industry Workshop: Bringing Theory to Practice,3
CE 4020,Pavement Analysis and Design,3
CE 4025,Virtual Design and Construction (VDC) Coordination and Control,3
CE 4040,Sustainability and Systems in the Built Environment,3
CE 4045,Behavioral Design,3
CE 4050,Risk Analysis,3
CE 4100,Water Chemistry,3
CE 4110,Environmental Systems Modeling & Management,3
CE 4120,Experimental Analyses in Environmental Engineering,3
CE 4160,Environmental Microbiology and Biological Waste Treatment,3
CE 4210,Stormwater Management,3
CE 4220,Coastal Engineering:Energy and Environment,3
CE 4270,"Hydraulics of Rivers, Streams, and Channels",3
CE 4320,Advanced Reinforced Concrete Design,3
CE 4400,Traffic Operations,3
CE 4500,Special Topics in Civil Engineering,1 - 3
CS 1010,Introduction to Information Technology,3
CS 1110,Introduction to Programming,3
CS 1111,Introduction to Programming,3
CS 1112,Introduction to Programming,3
CS 1113,Introduction to Programming,3
CS 1120,"Introduction to Computing: Explorations in Language, Logic, and Machines",3
CS 1501,Special Topics in Computer Science,1
CS 1511,Special Topics in Computer Science,3
CS 2100,Data Structures and Algorithms 1,4
CS 2102,Discrete Mathematics,3
CS 2110,Software Development Methods,3
CS 2120,Discrete Mathematics and Theory 1,3
CS 2130,Computer Systems and Organization 1,4
CS 2150,Program and Data Representation,3
CS 2330,Digital Logic Design,3
CS 2501,Special Topics in Computer Science,1 - 3
CS 2910,CS Education Practicum,1
CS 2993,Independent Study,1 - 3
CS 3100,Data Structures and Algorithms 2,3
CS 3102,Theory of Computation,3
CS 3120,Discrete Mathematics and Theory 2,3
CS 3130,Computer Systems and Organization 2,4
CS 3140,Software Development Essentials,3
CS 3205,HCI in Software Development,3
CS 3240,Advanced Software Development Techniques,3
CS 3250,Software Testing,3
CS 3330,Computer Architecture,3
CS 3501,Special Topics in Computer Science,1 - 3
CS 3710,Introduction to Cybersecurity,3
CS 4102,Algorithms,3
CS 4240,Principles of Software Design,3
CS 4260,Internet Scale Applications,3
CS 4330,Advanced Computer Architecture,3
CS 4414,Operating Systems,3
CS 4434,Dependable Computing Systems,3
CS 4444,Introduction to Parallel Computing,3
CS 4457,Computer Networks,3
CS 4458,Internet Engineering,3
ENGR 1010,Engineering Foundations 1,4
ENGR 1020,Engineering Foundations 2,3
ENGR 1410,Synthesis Design I,3
ENGR 1420,Synthesis Design II,3
ENGR 1501,Special Topics,1
ENGR 1520,Explorations in Engineering,3
ENGR 1559,Special Topics in Engineering,3
ENGR 1595,Explorations--First-Year Engineering Seminar,1
ENGR 1624,Introduction to Engineering,4
ENGR 2500,Introduction to Nanoscience and Technology,3
ENGR 2595,Special Topics in Engineering,1 - 4
ENGR 2993,Independent Study,1 - 3
ENGR 3020,Introduction to Engineering in Context,1
ENGR 3501,Special Topics in Engineering,3
ENGR 3502,Special Topics in Engineering,3
ENGR 3580,Rodman Scholars Seminar,1
ENGR 3610,Nanoscale Devices & Systems,3
ENGR 4010,Multidisciplinary Design and Development I,1 - 3
ENGR 4020,Multidisciplinary Design and Development II,1 - 3
ECE 1501,Special Topics in Electrical & Computer Engineering,1
ECE 2066,Science of Information,3
ECE 2200,Applied Physics,4
ECE 2300,Applied Circuits,3
ECE 2330,Digital Logic Design,3
ECE 2410,Intro to Machine Learning,3
ECE 2501,Special Topics in Electrical and Computer Engineering,0.5 - 4.5
ECE 2502,Special Topics in Electrical and Computer Engineering,0.5 - 4.5
ECE 2550,Topics in Applied Research and Design Lab,1.5
ECE 2600,Electronics,3
ECE 2630,ECE Fundamentals I,4
ECE 2660,ECE Fundamentals II,4
ECE 2700,Signals and Systems,3
ECE 3103,Solid State Devices,3
ECE 3209,Electromagnetic Fields,4
ECE 3250,Electromagnetic Energy Conversion,3
ECE 3251,Electromagnetic Energy Conversion Lab,1.5
ECE 3430,Introduction to Embedded Computer Systems,4
ECE 3501,Special Topics in Electrical and Computer Engineering,0.5 - 4.5
ECE 3502,Special Topics in Electrical and Computer Engineering,0.5 - 4.5
ECE 3660,Microelectronic Circuits,4
ECE 3750,ECE Fundamentals III,4
ECE 4103,Solid State Devices for Renewable Energy Conversion,3
ECE 4140,Fundamentals of Nanoelectronics,3
ECE 4155,Microelectronic Integrated Circuit Fabrication Laboratory,1.5
ECE 4209,RF Circuit Design and Wireless Systems,3
ECE 4265,Microwave Engineering Laboratory,1.5
ECE 4332,Introduction to VLSI Design,4.5
ECE 4434,Dependable Computing Systems,3
ECE 4435,Computer Architecture & Design,4.5
ECE 4440,Embedded System Design,4.5
ECE 4457,Computer Networks,3
MSE 2010,Materials That Shape Our Civilization,3
MSE 2090,Introduction to Materials Science,3
MSE 2101,Materials Science Investigations: Properties,3
MSE 2200,Introduction to Additive Manufacturing and 3-D Printing,3
MSE 2300,Science of Cooking: From Modern Cuisine to Soft Matter Science,3
MSE 2500,Special Topics in Materials Science and Engineering,1 - 3
MSE 3050,Thermodynamics and Phase Equilibria of Materials,3
MSE 3060,Structures and Defects of Materials,3
MSE 3070,Kinetics and Phase Transformation in Materials,3
MSE 3080,"Corrosion, Batteries and Fuel Cells",3
MSE 3081,"Corrosion, Batteries, and Fuel Cells Laboratory",1
MSE 3101,Materials Science Investigations,3
MSE 3610,Aerospace Materials,3
MSE 3670,"Materials for Electronic, Magnetic and Optical Applications",3
MSE 4030,X-ray Scattering Techniques in Materials Science,3
MSE 4055,Nanoscale Science & Technology,3
MSE 4200,Additive Manufacturing of Metals,3
MSE 4210,Materials Processing,3
MSE 4220,Polymer Physics,3
MSE 4270,Introduction to Atomistic Simulations,3
MSE 4320,Origins of Mechanical Behavior,3
MAE 1501,Special Topics in Mechanical & Aerospace Engineering,1
MAE 2020,Introduction to Mechanical Engineering,2
MAE 2030,Introduction to Aerospace Engineering,2
MAE 2040,Computer Aided Design,1
MAE 2090,Applied Probability and Statistics,3
MAE 2100,Thermodynamics,3
MAE 2300,Statics,3
MAE 2310,Strength of Materials,3
MAE 2320,Dynamics,3
MAE 2330,Mechanics Laboratory,2
MAE 2501,Special Topics in Mechanical Engineering,3
MAE 2502,Special Topics in Mechanical Engineering,3
MAE 2503,Special Topics in Aerospace Engineering,3
MAE 2504,Special Topics in Aerospace Engineering,3
MAE 3010,Astronautics,3
MAE 3120,Thermal Systems Analysis,3
MAE 3130,Nanoscale Heat Transfer,3
MAE 3140,Elements of Heat and Mass Transfer,3
MAE 3210,Fluid Mechanics,3
MAE 3220,Aerodynamics,4
MAE 3230,Thermal Fluids Laboratory,2
MAE 3310,Aerospace Structures,3
MAE 3420,Computational Methods in Mechanical & Aerospace Engineering,3
MAE 3501,Special Topics in Mechanical Engineering,3
MAE 3502,Special Topics in Mechanical Engineering,3
MAE 3503,Special Topics in Aerospace Engineering,3
MAE 3504,Special Topics in Aerospace Engineering,3
MAE 3610,Aerospace Materials,3
MAE 3620,Machine Elements and Fatigue in Design,3
MAE 3710,Mechanical Systems,3
MAE 3730,Flight Vehicle Dynamics,3
MAE 3810,Experimental Methods Laboratory,3
MAE 3820,Aerodynamics Laboratory,2
MAE 3840,Mechanical Engineering Laboratory,2
MAE 4120,Aerospace Propulsion,3
MAE 4130,Rocket Propulsion,3
MAE 4260,Robotic Autonomy,3
MAE 4270,Experimental Robotics,3
MAE 4280,Motion Biomechanics,3
STS 1500,"Science, Technology, and Contemporary Issues",3
STS 1501,Special Topics in Engineering & Society,1
STS 1800,Business Fundamentals,3
STS 2050,Introduction to Sustainable Energy Systems,3
STS 2070,Technology and Disability,3
STS 2101,Social Foundations Engineering,3
STS 2500,Science and Technology in Social and Global Context,3
STS 2570,Special Topics in Engineering Business,3
STS 2580,Special Topics for Engineering Entrepreneurship,3
STS 2600,Engineering Ethics,3
STS 2620,Science and Technology Public Policy,3
STS 2720,Marketing for Engineers,3
STS 2730,Engineers & the Art of the Deal,3
STS 2740,Earth Systems Technology and Management,3
STS 2750,Engineers as Consultants,3
STS 2760,Technology and Policy: Where Intent Meets Process,3
STS 2781,"Making the Machine Age: Technology in American Society, 1890-1990",3
STS 2810,Introduction to Technology Entrepreneurship,3
STS 2820,Presentation Strategies for Entrepreneurs,3
STS 2830,Innovation and New Ventures,3
STS 2840,Entrepreneurial Finance,3
STS 2850,Government and Entrepreneurship,3
STS 2860,"Intellectual Property, Engineering, and Society",3
STS 2870,Scientific and Technological Thinking,3
STS 2880,Invention and Design,3
STS 2890,The Entrepreneur in History,3
STS 2993,Independent Study: Technology and Society,1 - 3
STS 3020,Science and Technology Policy for Interns,3
STS 3046,Sustainability and Human Needs,3
STS 3110,Societal Dimensions of Nanotechnology,3
STS 3210,The Global Context of Clean Energy Materials,3
STS 3500,Advanced Topics in Technology and Society,1 - 4
STS 3570,Special Topics in Engineering Business,3
STS 3580,Special Topics for Engineering Entrepreneurship,3
STS 4500,STS and Engineering Practice,3
SYS 2001,Systems Engineering Concepts,3
SYS 2004,Data Management and Information Management,3
SYS 2048,Introduction to Electromechanical Systems,4
SYS 2054,Systems Case Studies,3
SYS 2055,Technology Leaders Colloquium,0.5
SYS 2056,Technology Leaders Internship Colloquium,0.5
SYS 2057,Management of E-Commerce Systems,3
SYS 2202,Data and Information Engineering,3
SYS 2501,Special Topics in Systems and Information Engineering,1 - 3
SYS 2502,Special Topics in Systems and Information Engineering,1 - 3
SYS 2620,Engineered Systems Public Policy,3
SYS 3001,The Art and Science of Systems Modeling,3
SYS 3021,Deterministic Decision Models,3
SYS 3023,Human Machine Interface,3
SYS 3034,System Evaluation,3
SYS 3046,Sustainability and Human Needs,3
SYS 3048,Integrated Systems Design,3
SYS 3054,Systems Case Studies,3
SYS 3055,Systems Engineering Design Colloquium I,1
SYS 3060,Stochastic Decision Models,3
SYS 3062,Discrete Event Simulation,4
SYS 3501,Special Topics in Systems and Information Engineering,1 - 4
SYS 3502,Special Topics in Systems and Information Engineering,0.5 - 3
SYS 4000,Financial Aspects of Engineering,3
SYS 4021,Linear Statistical Models,4
SYS 4024,User Experience Design,3
SYS 4036,Design of Experiments,3
SYS 4044,Economics of Engineering Systems,3
SYS 4050,Risk Analysis,3
SYS 4053,Systems Design I,3
SYS 4054,Systems Design II,3
SYS 4055,Systems Engineering Design Colloquium II,1
SYS 4081,Human-Computer Interaction,3
